KABKOT,TPT,HLS,RLS,PPK,AHH,PPM,AGK,AL,PTD_SD,PTD_SLTP,PTD_SLTA,SB_TB,SB_informal,SB_formal,Cluster
KABUPATEN BOGOR,14.29,12.48,8.3,10317,71.17,7.69,402877,47.54,30.58,53.76,15.66,50.73,24.67,24.6,1
KABUPATEN SUKABUMI,9.6,12.23,7.07,8823,70.97,7.09,328284,41.62,10.93,75.7,13.37,56.21,28.04,15.75,1
KABUPATEN CIANJUR,11.05,11.99,7.18,7980,70.13,10.36,371699,39.23,16.58,71.37,12.05,53.03,35.45,11.52,1
KABUPATEN BANDUNG,8.58,12.69,8.96,10201,73.53,6.91,367403,77.91,4.77,77.39,17.84,57.08,12.03,30.9,1
KABUPATEN GARUT,8.95,11.91,7.52,7876,71.41,9.98,310437,48.1,15.8,67.85,16.34,52.79,33.31,13.91,1
KABUPATEN TASIKMALAYA,7.12,12.53,7.35,7852,69.47,10.34,323880,40.58,14.64,75.33,10.04,40.19,41.08,18.73,1
KABUPATEN CIAMIS,5.66,14.06,7.7,9288,71.83,7.62,378108,50.74,12.22,78.66,9.12,39.48,45.3,15.22,1
KABUPATEN KUNINGAN,11.22,12.22,7.57,9459,73.59,12.82,352358,60.58,18.03,70.24,11.73,58.63,27.91,13.46,1
KABUPATEN CIREBON,11.52,12.25,6.92,10342,71.99,11.24,393452,57.39,30.89,47.61,21.49,47.89,36.27,15.83,1
KABUPATEN MAJALENGKA,5.84,12.22,7.27,9521,70.27,11.43,453201,74.56,16.19,66.69,17.12,46.48,34.91,18.61,1
KABUPATEN SUMEDANG,9.89,12.97,8.51,10217,72.43,10.26,353092,65.95,12.55,68.97,18.48,56.25,30.62,13.13,1
KABUPATEN INDRAMAYU,9.21,12.25,6.3,9859,71.63,12.7,474807,79.44,35.31,48.11,16.58,44.88,37,18.12,1
KABUPATEN SUBANG,9.48,11.7,7.1,10790,72.35,9.31,351885,56.76,21.89,55.79,22.32,47.16,24.63,28.21,1
KABUPATEN PURWAKARTA,11.07,12.11,8.09,11614,70.99,8.27,378287,39.98,14.31,69.27,16.41,53.19,25.81,21,1
KABUPATEN KARAWANG,11.52,12.09,7.77,11315,72.15,8.26,466152,65.95,25.44,57.31,17.26,56.22,30.8,12.97,1
KABUPATEN BEKASI,11.54,13.09,9.12,11241,73.68,4.82,518667,85.41,13.23,59.38,27.39,52.02,31.25,16.72,0
KABUPATEN BANDUNG BARAT,12.25,11.87,8.19,8455,72.34,10.49,362212,54.9,9.79,70.17,20.04,51.01,23.67,25.32,1
KABUPATEN PANGANDARAN,5.08,12.07,7.74,9084,71.4,8.99,382264,54.75,13.21,81.46,5.33,30.72,50.97,18.31,1
KOTA BOGOR,12.68,13.41,10.33,11564,73.61,6.68,547399,74.32,13.5,52.31,34.19,54.48,18.1,27.42,0
KOTA SUKABUMI,12.17,13.47,9.59,10999,72.42,7.7,547415,47.35,12.12,71.6,16.28,54.19,25.81,19.99,1
KOTA BANDUNG,11.19,14.2,10.75,16887,74.28,3.99,500452,85.44,7.54,57.77,34.69,45.94,24.25,29.81,0
KOTA CIREBON,10.97,13.12,9.91,11800,72.26,9.52,457954,96.99,19.93,43.67,36.4,47.93,21.93,30.14,0
KOTA BEKASI,10.68,14,11.16,15776,75.01,4.38,657953,89.91,8.58,58.75,32.66,50.57,18.21,31.22,0
KOTA DEPOK,9.87,13.92,11.28,15281,74.44,2.45,688194,52.66,9.99,45.19,44.82,31.6,34.85,33.55,0
KOTA CIMAHI,13.3,13.8,10.96,12025,74.03,5.11,511375,74.32,9.45,47.08,43.47,54.18,20.94,24.89,0
KOTA TASIKMALAYA,7.99,13.45,9.33,10263,72.15,12.97,470150,55.41,7.15,71.36,21.49,41.91,18.83,39.26,1
KOTA BANJAR,6.73,13.23,8.63,10535,70.99,6.09,344363,78.97,23.1,67.95,8.95,49.31,24.17,26.51,1
