Kab_Kota,TPT,HLS,RLS,PPK,AHH,Cluster
KABUPATEN BOGOR,"14,29","12,48","8,3",10317,"71,17",1
KABUPATEN SUKABUMI,"9,6","12,23","7,07",8823,"70,97",1
KABUPATEN CIANJUR,"11,05","11,99","7,18",7980,"70,13",1
KABUPATEN BANDUNG,"8,58","12,69","8,96",10201,"73,53",1
KABUPATEN GARUT,"8,95","11,91","7,52",7876,"71,41",1
KABUPATEN TASIKMALAYA,"7,12","12,53","7,35",7852,"69,47",1
KABUPATEN CIAMIS,"5,66","14,06","7,7",9288,"71,83",1
KABUPATEN KUNINGAN,"11,22","12,22","7,57",9459,"73,59",1
KABUPATEN CIREBON,"11,52","12,25","6,92",10342,"71,99",1
KABUPATEN MAJALENGKA,"5,84","12,22","7,27",9521,"70,27",1
KABUPATEN SUMEDANG,"9,89","12,97","8,51",10217,"72,43",1
KABUPATEN INDRAMAYU,"9,21","12,25","6,3",9859,"71,63",1
KABUPATEN SUBANG,"9,48","11,7","7,1",10790,"72,35",1
KABUPATEN PURWAKARTA,"11,07","12,11","8,09",11614,"70,99",1
KABUPATEN KARAWANG,"11,52","12,09","7,77",11315,"72,15",1
KABUPATEN BEKASI,"11,54","13,09","9,12",11241,"73,68",2
KABUPATEN BANDUNG BARAT,"12,25","11,87","8,19",8455,"72,34",1
KABUPATEN PANGANDARAN,"5,08","12,07","7,74",9084,"71,4",1
KOTA BOGOR,"12,68","13,41","10,33",11564,"73,61",2
KOTA SUKABUMI,"12,17","13,47","9,59",10999,"72,42",1
KOTA BANDUNG,"11,19","14,2","10,75",16887,"74,28",2
KOTA CIREBON,"10,97","13,12","9,91",11800,"72,26",2
KOTA BEKASI,"10,68",14,"11,16",15776,"75,01",2
KOTA DEPOK,"9,87","13,92","11,28",15281,"74,44",2
KOTA CIMAHI,"13,3","13,8","10,96",12025,"74,03",2
KOTA TASIKMALAYA,"7,99","13,45","9,33",10263,"72,15",1
KOTA BANJAR,"6,73","13,23","8,63",10535,"70,99",1
